Rank,Title,Studio, Total Gross ,Theaters,Opening,Theaters.1,Open,Close,link,genre
1,Star Wars: The Force Awakens,BV,936662225,"4,134","$247,966,675","4,134",12-18,6-2,/movies/?id=starwars7.htm,Sci-Fi Fantasy
2,Jurassic World,Uni.,652270625,"4,291","$208,806,270","4,274",6-12,11-19,/movies/?id=jurassicpark4.htm,Action / Adventure
3,Star Wars: The Last Jedi,BV,620181382,"4,232","$220,009,584","4,232",12-15,4-19,/movies/?id=starwars8.htm,Sci-Fi Fantasy
4,Rogue One: A Star Wars Story,BV,532177324,"4,157","$155,081,681","4,157",12-16,5-4,/movies/?id=starwars2016.htm,Sci-Fi Adventure
5,Beauty and the Beast (2017),BV,504014165,"4,210","$174,750,616","4,210",3-17,7-13,/movies/?id=beautyandthebeast2017.htm,Fantasy
6,Finding Dory,BV,486295561,"4,305","$135,060,273","4,305",6-17,12-8,/movies/?id=pixar2015.htm,Animation
7,Avengers: Age of Ultron,BV,459005868,"4,276","$191,271,109","4,276",5-1,10-8,/movies/?id=avengers2.htm,Action / Adventure
8,Wonder Woman,WB,412563408,"4,165","$103,251,471","4,165",6-2,11-9,/movies/?id=wonderwoman.htm,Action / Adventure
9,Captain America: Civil War,BV,408084349,"4,226","$179,139,142","4,226",5-6,9-22,/movies/?id=marvel2016.htm,Action / Adventure
10,Jumanji: Welcome to the Jungle,Sony,404515480,"3,849","$36,169,328","3,765",12-20,5-31,/movies/?id=jumanji2016.htm,Action
11,Guardians of the Galaxy Vol. 2,BV,389813101,"4,347","$146,510,104","4,347",5-5,9-21,/movies/?id=marvel17a.htm,Action / Adventure
12,The Secret Life of Pets,Uni.,368384330,"4,381","$104,352,905","4,370",7-8,12-29,/movies/?id=illumination2015.htm,Animation
13,The Jungle Book (2016),BV,364001123,"4,144","$103,261,464","4,028",4-15,9-29,/movies/?id=junglebook2015.htm,Adventure
14,Deadpool,Fox,363070709,"3,856","$132,434,639","3,558",2-12,6-16,/movies/?id=deadpool2016.htm,Action
15,Inside Out,BV,356461711,"4,158","$90,440,272","3,946",6-19,12-10,/movies/?id=pixar2014.htm,Animation
16,Furious 7,Uni.,353007020,"4,022","$147,187,040","4,004",4-3,7-24,/movies/?id=fast7.htm,Action
17,Zootopia,BV,341268248,"3,959","$75,063,401","3,827",3-4,8-4,/movies/?id=disney2016.htm,Animation
18,Minions,Uni.,336045770,"4,311","$115,718,405","4,301",7-10,12-17,/movies/?id=minions.htm,Animation
19,Spider-Man: Homecoming,Sony,334201140,"4,348","$117,027,503","4,348",7-7,11-30,/movies/?id=spiderman2017.htm,Action / Adventure
20,Batman v Superman: Dawn of Justice,WB,330360194,"4,256","$166,007,347","4,242",3-25,6-16,/movies/?id=superman2015.htm,Action / Adventure
21,It,WB (NL),327481748,"4,148","$123,403,419","4,103",9-8,12-14,/movies/?id=it.htm,Horror
22,Suicide Squad,WB,325100054,"4,255","$133,682,248","4,255",8-5,11-10,/movies/?id=dc2016.htm,Action / Adventure
23,Thor: Ragnarok,BV,315058289,"4,080","$122,744,989","4,080",11-3,3-15,/movies/?id=marvel2017.htm,Action / Adventure
24,The Hunger Games: Mockingjay - Part 2,LGF,281723902,"4,175","$102,665,981","4,175",11-20,2-25,/movies/?id=hungergames4.htm,Action / Adventure
25,Sing,Uni.,270395425,"4,029","$35,258,145","4,022",12-21,5-11,/movies/?id=illumination2016.htm,Animation
26,Despicable Me 3,Uni.,264624300,"4,535","$72,434,025","4,529",6-30,12-21,/movies/?id=despicableme3.htm,Animation
27,Moana,BV,248757044,"3,875","$56,631,401","3,875",11-23,4-27,/movies/?id=disney1116.htm,Animation
28,Fantastic Beasts and Where To Find Them,WB,234037575,"4,144","$74,403,387","4,144",11-18,3-30,/movies/?id=fantasticbeasts.htm,Fantasy
29,Doctor Strange,BV,232641920,"3,882","$85,058,311","3,882",11-4,3-16,/movies/?id=marvel716.htm,Action / Adventure
30,Justice League,WB,229024295,"4,051","$93,842,239","4,051",11-17,3-15,/movies/?id=dcfilm1117.htm,Action / Adventure
31,The Martian,Fox,228433663,"3,854","$54,308,575","3,831",10-2,3-17,/movies/?id=scott2016.htm,Sci-Fi
32,Logan (2017),Fox,226277068,"4,071","$88,411,916","4,071",3-3,7-13,/movies/?id=wolverine2017.htm,Action / Adventure
33,The Fate of the Furious,Uni.,226008385,"4,329","$98,786,705","4,310",4-14,8-10,/movies/?id=furious8.htm,Action
34,Coco,BV,209726015,"3,987","$50,802,605","3,987",11-22,4-26,/movies/?id=pixar1117.htm,Animation
35,Cinderella (2015),BV,201151353,"3,848","$67,877,361","3,845",3-13,9-17,/movies/?id=cinderella2015.htm,Fantasy
36,Spectre,Sony,200074609,"3,929","$70,403,148","3,929",11-6,4-7,/movies/?id=bond24.htm,Action
37,Mission: Impossible - Rogue Nation,Par.,195042377,"3,988","$55,520,089","3,956",7-31,10-29,/movies/?id=mi5.htm,Action
38,Dunkirk,WB,188045546,"4,014","$50,513,488","3,720",7-21,11-23,/movies/?id=chrisnolan2017.htm,"July 21, 2017"
39,Pitch Perfect 2,Uni.,184296230,"3,660","$69,216,890","3,473",5-15,7-30,/movies/?id=pitchperfect2.htm,Comedy
40,The Revenant,Fox,183637894,"3,711","$474,560",4,12-25,5-26,/movies/?id=revenant.htm,Action / Adventure
41,Ant-Man,BV,180202163,"3,868","$57,225,526","3,856",7-17,12-17,/movies/?id=antman.htm,Action / Adventure
42,Home (2015),Fox,177397510,"3,801","$52,107,731","3,708",3-27,9-10,/movies/?id=happysmekday.htm,Animation
43,Get Out,Uni.,176040665,"3,143","$33,377,060","2,781",2-24,2-15,/movies/?id=blumhouse2.htm,Horror
44,The LEGO Batman Movie,WB,175750384,"4,088","$53,003,468","4,088",2-10,6-8,/movies/?id=lego2.htm,Animation
45,The Boss Baby,Fox,175003033,"3,829","$50,198,902","3,773",3-31,11-2,/movies/?id=bossbaby.htm,Animation
46,The Greatest Showman,Fox,174340174,"3,342","$8,805,843","3,006",12-20,7-26,/movies/?id=greatestshowman.htm,Musical
47,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,"4,276","$62,983,253","4,276",5-26,9-21,/movies/?id=potc5.htm,Period Adventure
48,Hotel Transylvania 2,Sony,169700110,"3,768","$48,464,322","3,754",9-25,3-3,/movies/?id=hoteltransylvania2.htm,Animation
49,Hidden Figures,Fox,169607287,"3,416","$515,499",25,12-25,11-9,/movies/?id=hiddenfigures.htm,Drama
50,Kong: Skull Island,WB,168052812,"3,846","$61,025,472","3,846",3-10,6-15,/movies/?id=legendary2016.htm,Action / Adventure
51,Fifty Shades of Grey,Uni.,166167230,"3,655","$85,171,450","3,646",2-13,5-7,/movies/?id=fiftyshadesofgrey.htm,Romance
52,The SpongeBob Movie: Sponge Out of Water,Par.,162994032,"3,680","$55,365,012","3,641",2-6,5-28,/movies/?id=spongebob2.htm,Animation
53,Jason Bourne,Uni.,162434410,"4,039","$59,215,365","4,026",7-29,12-22,/movies/?id=bourne5.htm,Action
54,Straight Outta Compton,Uni.,161197785,"3,142","$60,200,180","2,757",8-14,10-22,/movies/?id=straightouttacompton.htm,Drama
55,Star Trek Beyond,Par.,158848340,"3,928","$59,253,211","3,928",7-22,10-20,/movies/?id=startrek2016.htm,Sci-Fi Adventure
56,X-Men: Apocalypse,Fox,155442489,"4,153","$65,769,562","4,150",5-27,7-28,/movies/?id=x-men2016.htm,Action / Adventure
57,San Andreas,WB (NL),155190832,"3,812","$54,588,173","3,777",5-29,10-15,/movies/?id=sanandreas.htm,Action
58,Trolls,Fox,153707064,"4,066","$46,581,142","4,060",11-4,3-30,/movies/?id=trolls.htm,Animation
