Title,Total Gross,장르
Jurassic World,652270625,액션
Finding Dory,486295561,애니메이션
Avengers: Age of Ultron,459005868,액션
Wonder Woman,412563408,액션
Captain America: Civil War,408084349,액션
Jumanji: Welcome to the Jungle,404515480,액션
Guardians of the Galaxy Vol. 2,389813101,액션
The Secret Life of Pets,368384330,애니메이션
Deadpool,363070709,액션
Inside Out,356461711,애니메이션
Furious 7,353007020,액션
Zootopia,341268248,애니메이션
Minions,336045770,애니메이션
Spider-Man: Homecoming,334201140,액션
Batman v Superman: Dawn of Justice,330360194,액션
Sing,270395425,애니메이션
Despicable Me 3,264624300,애니메이션
Moana,248757044,애니메이션
The Martian,228433663,드라마
Coco,209726015,애니메이션
Dunkirk,188045546,드라마
The Greatest Showman,174340174,드라마
Hidden Figures,169607287,드라마
Straight Outta Compton,161197785,드라마
San Andreas,155190832,드라마
La La Land,151101803,드라마
Wonder,132422809,드라마
Sully,125070033,드라마
Creed,109767581,드라마
