순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1 ,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,"1,912 ",115699634137,"14,410,931 ",27530825087,"3,346,172 ",판타지,12세이상관람가,상업영화
2 ,베테랑,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,"1,064 ",105024756250,"13,395,400 ",26766369950,"3,290,366 ",액션,15세이상관람가,상업영화
3 ,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,"1,519 ",98463132781,"12,705,700 ",25306651181,"3,155,960 ",액션,15세이상관람가,상업영화
4 ,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,"1,906 ",95284747049,"12,099,971 ",22186916199,"2,729,932 ",드라마,15세이상관람가,상업영화
5 ,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,"1,788 ",93175877048,"11,565,078 ",23020827248,"2,754,686 ",액션,15세이상관람가,상업영화
6 ,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-04-23,개봉영화,장편,미국,"1,843 ",88582586366,"10,494,499 ",25001906266,"2,823,388 ",액션,12세이상관람가,상업영화
7 ,검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",,(주)쇼박스,2016-02-03,개봉영화,장편,한국,"1,812 ",77252755264,"9,699,092 ",18302525664,"2,219,587 ",범죄,15세이상관람가,상업영화
8 ,국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2014-12-17,개봉영화,장편,한국,966 ,69823893034,"8,911,437 ",16331193634,"2,033,863 ",드라마,12세이상관람가,상업영화
9 ,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-04-27,개봉영화,장편,미국,"1,991 ",72672111827,"8,677,249 ",21248121149,"2,400,069 ",액션,12세이상관람가,상업영화
10 ,공조,김성훈,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",,씨제이이앤엠(주),2017-01-18,개봉영화,장편,한국,976 ,63781731326,"7,817,446 ",14672808676,"1,744,624 ",액션,15세이상관람가,상업영화
11 ,히말라야,이석훈,(주)제이케이필름,,씨제이이앤엠(주),2015-12-16,개봉영화,장편,한국,"1,009 ",60173583015,"7,759,473 ",13920553930,"1,738,016 ",드라마,12세이상관람가,상업영화
12 ,밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",,워너브러더스 코리아(주),2016-09-07,개봉영화,장편,한국,"1,444 ",61158644831,"7,487,545 ",15436298021,"1,827,424 ",액션,15세이상관람가,상업영화
13 ,스파이더맨: 홈 커밍,존 와츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,개봉영화,장편,미국,"1,965 ",59120173820,"7,257,973 ",16753103620,"1,969,107 ",액션,12세이상관람가,상업영화
14 ,1987,장준환,(주)우정필름,,씨제이이앤엠(주),2017-12-27,개봉영화,장편,한국,"1,299 ",58166310145,"7,231,770 ",14638920495,"1,776,877 ",드라마,15세이상관람가,상업영화
15 ,마스터,조의석,영화사 집,,씨제이이앤엠(주),2016-12-21,개봉영화,장편,한국,"1,501 ",58067927865,"7,150,541 ",14520299965,"1,731,940 ",액션,15세이상관람가,상업영화
16 ,터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",,(주)쇼박스,2016-08-10,개봉영화,장편,한국,"1,105 ",57510324417,"7,118,592 ",14121558017,"1,675,010 ",드라마,12세이상관람가,상업영화
17 ,내부자들,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-11-19,개봉영화,장편,한국,"1,075 ",56596582057,"7,071,763 ",16340245357,"1,972,885 ",범죄,청소년관람불가,상업영화
