날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20180625(),1,탐정: 리턴즈,2018-06-13,745649600,0.457,-1547792600,-0.675000000000000014051260155412137464736588299274444580078125,18465874872,91676,-161055,-0.637000000000000013260226250366713429684750735759735107421875,2124564,1011,5002,한국,한국,(주)크리픽쳐스,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",이언희,"권상우,성동일,이광수,서영희,이일화,남명렬,손담비,최성원,김동욱,박성일,오희준"
20180625(),2,오션스8,2018-06-13,322512100,0.198,-472760350,-0.594000000000000012365108936762680968968197703361511230468750,9642699463,39072,-47656,-0.549000000000000011428358259735205137985758483409881591796875,1086509,656,2746,미국,미국,,워너브러더스 코리아(주),12세이상관람가,"액션,범죄",게리 로스,"산드라 블록,케이트 블란쳇,앤 해서웨이,민디 캘링,사라 폴슨,아콰피나,리한나,헬레나 본햄 카터"
20180625(),3,쥬라기 월드: 폴른 킹덤,2018-06-06,304913900,0.187,-890891700,-0.745000000000000015508427875232655424042604863643646240234375,46994405437,37327,-98310,-0.725000000000000015092094240998221721383742988109588623046875,5320772,757,3120,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,SF",후안 안토니오 바요나,"크리스 프랫,브라이스 달라스 하워드,제프 골드블럼,저스티스 스미스,토비 존스,B.D. 웡,테드 레빈,제임스 크롬웰,라프 스팰,제랄딘 채플린,마이클 파파존,카밀 레미에쉐브스키,다니엘라 피네다,로버트 엠스"
20180625(),4,독전,2018-05-22,124414600,0.076,-197124300,-0.613000000000000012760625889285392986494116485118865966796875,42905215313,15260,-19425,-0.56000000000000001165734175856414367444813251495361328125000,4993405,477,1240,한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션",이해영,"조진웅,류준열,김주혁,김성령,박해준,차승원,이주영,김태준,서현우"
20180625(),5,여중생A,2018-06-20,26384600,0.016,-146666300,-0.848000000000000017652546091539988992735743522644042968750000,574680000,3366,-15349,-0.82000000000000001706967900361178180901333689689636230468750,67729,402,842,한국,한국,"(주)영화사울림,네이버웹툰 주식회사",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,이경섭,"김환희,김준면,이종혁,정다빈,유재상,정다은,김현빈,유수아"
20180625(),6,아이 필 프리티,2018-06-06,27289200,0.017,-32622700,-0.545000000000000011345091532888318397453986108303070068359375,1926755000,3277,-3031,-0.481000000000000010012823903338130548945628106594085693359375,216873,115,289,미국,미국,,(주)홈초이스,15세이상관람가,코미디,아비 콘,"에이미 슈머,미쉘 윌리엄스"
20180625(),7,개들의 섬,2018-06-21,14506500,0.009000000000000001,-20941300,-0.591000000000000012302658891627515913569368422031402587890625,144279200,1764,-2082,-0.541000000000000011261824806041431656922213733196258544921875,16478,104,194,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"코미디,애니메이션,다큐멘터리",웨스 앤더슨,"브라이언 크랜스톤,스칼렛 요한슨,빌 머레이,프란시스 맥도먼드,틸다 스윈튼,에드워드 노튼"
20180625(),8,유전,2018-06-07,13917000,0.009000000000000001,-18330200,-0.568000000000000011823875212257917155511677265167236328125000,1497854625,1627,-1714,-0.513000000000000010678957718113224473199807107448577880859375,169387,70,124,미국,미국,,(주)팝엔터테인먼트,15세이상관람가,공포(호러),아리 애스터,"토니 콜렛,가브리엘 번,알렉스 울프,밀리 샤피로"
20180625(),9,마녀,2018-06-27,13302000,0.0080,11142000,5.158000000000000107372444269060451915720477700233459472656250,68403900,1478,1298,7.211000000000000150109091823225071493652649223804473876953125,7836,4,4,한국,한국,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",워너브러더스 코리아(주),15세이상관람가,"미스터리,액션",박훈정,"김다미,조민수,박희순,최우식,백승철,김하나"
20180625(),10,어벤져스: 인피니티 워,2018-04-25,13789600,0.0080,-18352200,-0.571000000000000011886325257393082210910506546497344970703125,99738964669,1201,-1573,-0.567000000000000011803058530546195470378734171390533447265625,11195314,35,63,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF","안소니 루소,조 루소","로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,제레미 레너,스칼렛 요한슨,엘리자베스 올슨,안소니 마키,폴 러드,기네스 팰트로우,폴 베타니,돈 치들,베네딕트 컴버배치,톰 홀랜드,크리스 프랫,조 샐다나,카렌 길런,브래들리 쿠퍼,빈 디젤,데이브 바티스타,세바스찬 스탠,채드윅 보스만,코비 스멀더스,베니치오 델 토로,피터 딘클리지,사무엘 L. 잭슨,다네이 거라이라,베네딕트 왕"
