score,title,time,review
7,"A Nice Sidetrack to the Original, if Occasionally Over-Similar",19 April 2017,"Back to the pond for Pixar, where we find things largely unchanged from the end of 2003's Finding Nemo. As the continually-forgetful blue tang Dory has a sudden enduring flash of her childhood, a rush of recall, she gathers the clownfish for one more globe-spanning adventure. The setup is a little soft, lingering too long in the shadow of the first film, but eventually we break free of that sentiment and forge a new (if similar) identity for the sequel. The closed-in landscape of an aquatic themed zoo/amusement park feels a bit claustrophobic at first glance, but as hijinx ensue and we learn more of Dory's early years, it all fleshes out nicely. No shortage of colorful new characters there, literally and figuratively, not the least of which is Ed O'Neill's escape artist ""septipus"" (having lost a tentacle in the touch tank), who treads dangerously close to becoming a deus ex machina with his versatility. O'Neill brings his usual disgruntled pessimism to the role, though, and some genuinely clever sight gags using the creature's natural assets go a long way to smoothing that over. He's overly convenient, but we're always glad to see him again. Witty and fast-paced, with a good mix of gags for the adults and their kids, plus a potent dose of the studio's famed poignancy. I laughed, I misted up, but I never quite fooled myself into thinking it was superior to the first."
8,Going away,12 June 2017,"This is a really good sequel. Taking characters from the first one and putting new ones in there as well, it never gets boring or seems to repetitive. And you don't even have to be Dory, I mean forgetful, for this to work for you. Yes it does make sense to watch the first one (Finding Nemo) then, although I reckon you could watch it and enjoy it as a standalone too.The characters and their traits are strong and there are a lot of side jokes built in to this too. Humans are being treated like extras and we wouldn't have the time to deal with them anyway. That is apart from one major voice - but it's being highlighted too as if one of the writers or Ellen herself might have a crush there. But you can't blame them for that. On the contrary you can congratulate everyone involved for a really good movie"
10,Simply a delightful movie,28 May 2017,"I have to admit that I was among many who rolled their eyes when a sequel to Finding Nemo was announced. I really didn't think there was anything else that could be done with that story. WRONG! It was honestly a million times better than I ever could have expected. I definitely loved it more than the original Finding Nemo. Dory was a fan favorite in the original film and the sequel delivers more of Ellen's whimsical portrayal of the forgetful little fish.I am a sucker for backstory (main reason I love the Star Wars prequels) and I absolutely loved the direction they took this film in. Fun for the whole family. Laughs, lessons, tons of heart. Who could ask for more? The voice acting cast was tremendous, particularly Ellen, of course. They really know how to pull you into this undersea world. I really wouldn't have changed anything about it. A truly delightful movie."
9,Excellent for kids,1 June 2017,"*May Contain Spoilers* This movie is about dory losing her parents when she was a little baby fish. Dory lost her parents due to suffering from short term memory loss. Now dory is older she begins to have flash backs of her parents and where she came from because she has never has known her real family. Some thoughts in her mind however make her realise she wants to find them. So dory decides to start on a sea adventure to try and find them with the help of her best friends marlin and Nemo the clown fish. Along the way dory has help from many other sea creatures in helping in trying to help find her parents. It is an exciting watching all the different situations that dory has to go through, whilst suffering from her short term memory loss, its funny yet sad and a little bit scary what happens to dory. Dory in the end actually remembers more than she actually knew. In the end dory finds here mum and dad because she remembered where she came from. This was a great adventure movie full of colourful sea creatures and a great ending for dory."
10,Awesome and sad,21 May 2017,"I thought that this movie would be boring since I got older and it's a kid's movie. I was very surprised and I found it better than finding Nemo. I could relate so much to Dory, I'm always forgetting things, I'm always lost and I cried so many times in this movie because I could relate. She is just like me and when other fishes got mad at her, I felt the same way she did. It was a very deep and emotional movie, I absolutely loved it (even though I don't remember everything). If you are constantly lost in your own world and have a fish memory, I guarantee that you will cry watching the movie."
1,Finding Dory Boring,17 July 2016,"What can I say? Maybe I'm just becoming a curmudgeon but I just don't find the fact that Dory lost her parents as a child and has been looking for them ever since very (read: at all) interesting. The movie opens with Dory as a small child, who features in several flashbacks thereafter. The cuteness factor of young Dory has been dialed up to 11 in a rather obvious attempt to invest the audience in Dory's plight that much more. But, to me, it just came off as saccharine.The movie wasn't very plausible either. Yes, I am fully aware this is a cartoon aimed at kids. But we're expected to believe Dory, having severe (and entirely plot-driven) memory loss somehow found her way as a small child from California all the way to Australia all by herself.Anyway, if I'd been able to find the basic plot interesting, I might have forgiven the movie's list of other other implausibilities and errors but, as it is, they just come off as irritating, and in service of a dull story. Some example:An octopus (actually, a ""septapus"", as it's missing a tentacle; more on that later) that can not only stay out of water indefinitely and disguise itself as anything, but can also learn to drive a car within seconds and drive it blind with only Dory to guide him.A fish tank in the kiddie section of an aquarium, where the kids are allowed to grab the creatures within the tank. This, incidentally, is where the octopus lost a tentacle because a kid pulled it off. And the aquarium was totally okay with this and let the kids go on grabbing fish. GTFOOH Pixar.The octopus finds himself back in the tank where kids can freely grab them. Conveniently, he forgets he can essentially become invisible, to force tension into the plotThe octopus steers a stroller past milling throngs of people, none of whom think it very remarkable.Whale sharks are not whales and do not eat fish. This is the most egregious, or at least most irritating, error committed by this film. Did Pixar not do research or did they just not care? Honestly, I find this error shocking coming from Pixar.Several fish-eating animals are seen throughout this movie that are only to happy to forget their dietary requirements: sea lions, loons, otters, it doesn't matter. The otters are even willing to risk their lives for this fish they don't know to help her do something about which they have no way of knowing anything. At least in the fIrst movie, there was some explanation given as to why pelicans and sharks would not eat fish. Here, it's just whatever serves the plot. It just feels lazy and cheap.I have a feeling echolocation doesn't work anything like it's portrayed here, but I won't make too much of it. But, wow, did that ""whale speak"" get REALLY annoying REALLY fast.I have usually considered Pixar to feature strong characters, but after THE GOOD DINOSAUR and this movie, I'm disappointed in how dull and/or annoying the characters are. Dory was fine as a supporting player (and in a better movie) but as the star, she's simply insufferable. Overall, I have always considered Pixar as synonymous with quality. But no longer. It will no longer be a given that a Pixar movie is going to be a winner."
1,Boring and disappointing,11 July 2016,Anticipated for this movie long time ago with high hope since I love Finding Nemo but this is such a huge disappointment. The 'short-term memory (remember-y here and there) lost' joke is getting old and at some point become annoying. Not until half way through the movie I got bored and wondered when the movie end. Couldn't laugh or at least chuckle at jokes thrown in the movie and the story seems to be put in a rush. Marlin and Nemo were also featured all the way in the movie and they were just fine. The dynamic between three of them were still there too however the adventures portrayed didn't really exciting and the thrill of the journey helping Dory on her quest finding her parents couldn't evoke emotions at all. I remembered myself laughed a lot watching Finding Nemo and at some point in tears too but not on this one. It's certainly not easy to be on par with a great movie with great visual effects and story line like Finding Nemo in the first place but at least this should have come close to it which sadly that is not the case. Definitely disappointed
8,Another hit from Pixar that uses CGI to assist in telling a story...,21 October 2016,"... rather than using a story to demonstrate dazzling CGI. This film was just as good as its predecessor, Finding Nemo. In this film (which takes place one year after 'Nemo'), Dory, who suffers from short term memory loss, makes it a mission to find her parents. She helped Marlon find Nemo in the first film and now she wants help locating her parents. She became separated from them when she was young and until now, has relied on others to help her find her way. She also gets by with her unique brand of impulsiveness and quick action. Throughout the film, Dory uses other ""people's"" (fishes'?) words and objects to trigger memories that assist her in finding her way. It was very clever how Pixar incorporated these triggers to help move the story along and flesh out Dory's background. I also liked how they treated short term memory loss with sensitivity and did not make it a joke. The marine center that Dory & co. end up at is based on the excellent Monterrey Bay Aquarium. The funniest new character added to the Nemo franchise is Hank the octopus (except he only has seven legs as Dory points out and refers to him as a ""septapus.""). Hank is cynical, but you know he's a softy deep inside. He can also camouflage himself into his settings which is quite comical. There are other funny characters like Becky the buzzard and Gerald the seal with a uni-brow.It seems that Pixar thrives on adding emotional scenes to their films that pull at their audience's heartstrings. Finding Dory is no exception. There is a very dramatic scene near the end of the film where Dory is separated from her party and is lost in an unfamiliar, dark ocean, alone. She has to rely on herself to figure out how to find her way out and find her friends. This was a very heart wrenching scene. I won't lie, it made me tear up and I could hear other people sniffling in the theater. Another emotional scene is the beginning of the film showing a baby Dory with her parents. It's not as sad though as the beginning of Up, though.I'd recommend this one."
4,"A big, hectic chunk of cinematic nonsense",23 August 2016,"Finding Dory wins just one miserable star, for one reason: The animation throughout is astonishingly realistic.However, almost everything else about the film is a train wreck of ocean-sized proportions. Take no notice of the reviews of the critics, who seem to be doing everything to try and defend this horribly misguided mess.But how is it a mess? Here's why. The whole film just fails to give you a reason to want to sit through all of it again. It doesn't feel like a proper story, instead more like a series of antics and ideas thrown into an overflowing, ugly mix. It's chaotic, too long and so stupid at times that it has to be seen to be believed. This is easily one of Pixar's worst.Finding Dory's most egregious flaw as its shockingly incompetent pacing. The film is frantic, mindless and over-concerned with shoving in jokes and sight gags. Scenes are so rushed and so needlessly silly that they just aren't believable. Introduced characters get little development and are just forgettable. Will anyone really remember or care about Hank the octopus, Destiny the whale shark or those argumentative sea-lions in the future?The film's strict adherence to sequel clichés also seriously crosses the line. Returning plot elements, rehashed scenarios, character cameos and overblown action scenes are all here and are never justified. In fact, by the end of it, the entire film hasn't even justified its existence. Furthermore, the characters suffer so much bad luck that it eventually turns into ""Planes, Trains and Automobiles"" with fish. Everything starts going wrong. Detours are constantly taken. Death is cheated over and over. And yet, the characters constantly escape via methods so contrived and convenient that it's impossible to take seriously. Admittedly, it's kind of creative in places, but it's also as predictable as you can imagine.The climax, however, is where the film finally crashes into the ground. It's astoundingly awful. Picture this - an octopus driving a lorry extremely poorly and not crashing into any oncoming cars. A large group of otters hugging each other in the middle of the road in order to stop these cars. And finally, the same lorry being driven over a hill and into the sea. This is the climax simplified - except that it's way, way worse than that. It can't even describe how bad it is. It's a horribly written climax and is jaw-droppingly nonsensical.Why stop there? The film fails in so many other ways that you can play bingo with its flaws. There are way too many flashbacks to Dory's cutesy childhood. ""Emotional"" scenes are dull and stretched thin. Marlin and Nemo are in it, but mean little to the plot. A scene where a bunch of kids are touching some sea life, who are shown feeling the constant pain, is not at all funny but uncomfortable. Several scenes, like one with a talking clam, just feel shoved in for no reason. Many jokes fall flat. The dialogue is stale and charmless. I could go on and on.The whole thing is an embarrassing atrocity. As much as I'd love to give more stars to this movie, I feel it deserves just one. Because the bad aspects of this movie are so bad, they essentially undo the good ones. Yes, it's well-animated. Yes, it has some very minor charming parts. Yes, it can be creative at times. But everything else about the film is brainless to a damning extreme. Finding Nemo worked because it was melancholic, tear-jerking and uplifting. It resonated with everyone. Its sequel has almost none of what made the original a masterpiece."
2,Disappointed,21 June 2016,"I watched this movie with very high hopes. I was a kid when Finding Nemo came out and it defined kids movies at the time. Finding Dory was significantly less impressive. The good: The move was very cute and the characters were fun. Ed O'Neill as a cranky octopus was especially nice. The bad: The whole movie feels as if Pixar was pressed to come out with a solid movie and just threw this one together really fast. It felt very rushed and therefore the story line, which had a little potential, was hard to really get into and appreciate. 3/4 of the way through, though it felt rushed, the movie became very redundant and predictable. I was pretty over it personally and could have stopped the movie then and been a happy camper. One of Pixar's lazier films and it's disappointing considering the astounding work they have done before it. If you want to enjoy a movie like this, just watch Finding Nemo instead. If you want to see the sequel to they aforementioned and terrific film, your imagination of how the movie should play out is probably better than the real thing."
3,Meh,17 June 2016,"Okay - Blackfish apparently caused a rewrite of the movies ending, presumably the species of the character Destiny. Okay... Pretty sure the writers had enough time to do some research and figure out that a whale-shark is not in fact a whale, and doesn't eat fish... Why not just feed the fish into the beluga's tank? Why not have the beluga 'speak whale' instead? We get it, it's a cartoon - but willful suspension of disbelief is lost when my 3 year old is calling out this sort of stuff (granted, he's been fortunate enough to go to the aquarium in Atlanta) There is no magic in Dory - in fact, it's greatest problem may be that there's too much Dory. In the first she acted as a great foil to Marlin - here... well... There's no foil for Dory.Watch it again - as stated earlier, got a three year old so it might happen. Pay to watch it again? No. Do it by choice? No. Allow my kid to watch it again? Sure, there's worse, but then again, there's better too: frankly, ""A Turtle's Tale 2"" was better, with a fresher recycled soundtrack even with a remarkably similar plot line.Currently Rotten Tomatoes is giving it a 'certified fresh' rating - I'm left wondering if there is an octopus writing their critical reviews."
