score,title,time,review
7,"Spielberg Magic, This Is Not. Still, a Visit to Jurassic World Is Worth the Price of Admission.",12 June 2018,"You may have heard some critics champion Jurassic World as ""The best Jurassic Park sequel"", some fans declare that it ""brought them back to their childhood"", and others who may have made the absurd claim, ""It's better than the original"". Don't believe the hype. Jurassic World is nowhere close to the best Jurassic Park sequel (Spielberg's own, The Lost World: Jurassic Park, will always have that title). It is not going to bring you back to your childhood, and it doesn't hold a candle to what Steven Spielberg and crew accomplished with the original Jurassic Park. That being said, in a time of dark, self-serious, and pretentious blockbusters such as last year's Dawn of the Planet of the Apes or Christopher Nolan's Dark Knight films, Jurassic World is a refreshing antidote. Light, wholesome, and heavy on adventure, JW harkens back to the big Hollywood ""event"" blockbusters of the 80s and 90s. Let's just not pretend this is anything groundbreaking. The fourth Jurassic Park movie remembers to have fun with its premise, but Spielberg's magic touch is still sorely missed.Jurassic World is the latest film in the Jurassic Park franchise in name only. Call it a sequel, reboot, or re-quel, the fact remains, this is not the same world created by author Michael Crichton and made real by Spielberg and company in 1993. All the major characters from the first three films are gone. Alan Grant, Ellie Satler, Ian Malcolm, and the rest of the appealing and memorable characters of the earlier movies are replaced with broad movie archetypes and superfluous supporting characters. With respect to our new kid characters and Vincent D'Onofrio's bone-headed military grunt, the only two characters worth noting in Jurassic World are Owen Grady, a rugged dino-expert played by bona fide movie star Chris Pratt, and Claire Dearing, an uptight scientist played by Bryce Dallas-Howard. Both are really likable in doses, and the script doesn't subject us to too much of their dopey bantering. While Owen and Claire are cliched, and ultimately uninteresting, as characters, the charm and sheer star power of Pratt and Dallas-Howard are quite enough to bolster JW's brand of disposable summer adventuring.There's a neat little hook to the story of Jurassic World. After a re-branding of sorts, John Hammond's dream is finally realized and Jurassic Park is opened and fully operating. However, when the public begins to lose interest in seeing the same old dinosaurs, the scientists of Jurassic World are prompted to create an all-new hybrid dinosaur called the Indominus Rex. Well, you guessed it, that dinosaur escapes. Okay, so that's a clever solution to the classic Jurassic Park sequel dilemma, ""How does this stuff keep happening?"", but that plot line takes all of twenty minutes to peter into a chase picture, and a simple one at that. The few subplots are banal. Be it, two brothers who come to Jurassic World to spend time with their aunt, or a ridiculous plan to weaponize velociraptors (The latter of those subplots is one of the most embarrassingly stupid ideas I've seen in a movie in years), Jurassic World doesn't have much to get invested in besides big scary monsters running after people.There is one aspect of the film that I love, and that is the design of the Jurassic World Resort. The care that went into perfecting the look of the theme park is a great deal higher than the care that went into the story or the filmmaking. Jurassic World is a living, breathing place, and it is filled with all kinds of minor details that help sell the illusion. The triceratops petting zoo, the hamster ball ride, the souvenir shops, and scores of other theme park related details are touches that I was grateful made it into the film. There are more than a few nice moments where you get to enjoy the park as it was ""intended"". The immersion lasts throughout, even as the prehistoric psycho-killer, and all the destruction that it brings, takes center stage. Once the Indominus Rex gets out, and all Hell breaks loose, director Colin Trevorrow's filmmaking starts to show its deficiencies. Jurassic World is an impressive technical feat. The action is staged well, and the special effects and production designs are incredibly polished. It all looks like a million bucks (or 150 million to be exact), and it's all very fun, but when it comes to the meat of the movie, it's foolish to think that Jurassic World is anything more than Transformers with dinosaurs. In Jurassic Park and The Lost World, Steven Spielberg infused his action scenes with tension and suspense. There was a certain kind of visual poetry to the T-Rex attack in the first movie or the raptors in the grass scene from The Lost World. They were exhilarating because of their selective restraint. Without showing everything, Spielberg made scenes that were subtle and scary, and that exploded to life at just the right moments. Jurassic World's action scenes are big, loud, and entertaining, but it's all chaos, no technique. Trevorrow throws the kitchen sink into every shot. The Indominus Rex chomps up dozens of machine gun toting mercenaries, pterodactyls dart all over the screen pecking and biting everything in sight, and big, lumbering CGI beasts fight each other and destroy every last peanut brittle building around them. Sound familiar? It's the kind of Call of Duty-esque sensory bombardment that can be loads of fun to watch while you're there but doesn't leave the lasting impact of truly great action.So it is with Jurassic World. The movie is big, bright, and fun, with lots of action and good special effects. It pleases crowds. But as with most big budget crowd pleasers, it comes with dull characters, brain dead plotting and booming CGI overload. Jurassic World left me with the exact same feeling I got after seeing Jurassic Park 3. Both movies are serviceable summer romps, full of dino-action and great visual effects, but there is simply a noticeable dip in the quality of the production. Jurassic World successfully mines from the franchise name a good B-caliber FX spectacular. For dumb summer fun, it works. But there was a time when Jurassic Park aspired to more than dumb summer fun. Steven Spielberg's first two movies had class. They grappled with ideas, they were intelligent, they showcased real filmmaking, and they were genuinely thrilling. Jurassic World is colorful and entertaining, but let's be clear, when it's all said and done, nothing beats Spielberg. 74/100"
3,"A 3 is generous. Dull, cliche ridden, hackneyed, predictable, stupid",11 February 2018,"Dull, cliche ridden, hackneyed, predictable, stupid and those are the reasons I give it a 3 instead of lower. The characters do predictable stupid things over and over.. Is there danger? Yes so RUN OUT IN THE OPEN instead of going inside. As the dino's are attacking we see people running OUT of buildings right into the path of the toothy dinos.And of course there is ALWAYS an SUV, or Quad right at hand when our hero's need one... keys in it of course... yet all the screaming people have been running right by them rather then jumping in and driving the hell away.Yes, it's a movie but can't we keep at least some reality of physics in dino stories. It is NOT possible for ANY flesh and blood animal to swing it's arms and tails around and smash thru huge concrete columns and turn them to dust without doing massive damage to their own body. Yet time and again the arms and tails go swinging and knocking down multiple foot thick concrete stuff.And really, you are going to take out these dinos with assault rifles? Of course the assault rifles are worthless but someone did have the sense to bring ONE grenade launcher with them which blows up dino's just in the nick of time. And of course we wouldn't want to give away our position although we do shine laser gun sights right at the dino which would lead them straight back to where the gun holder is.How on god's green earth this movie gets 10's is beyond me. Even if you ignore the stupidity, etc it is SO predictable that there is not a moment of suspense in the whole thing."
3,Unrealistic and a Horrible Mess,25 February 2016,"Let me just start by saying, I don't think this movie deserves a score of 1, but I had to rank it that low because currently the score is a gross misrepresentation of reality. This is not a movie which deserves to be compared with all of the great cinema masterpieces mankind has made.I just watched the semi-new Jurassic Park movie and I must say, I thought it was very, very stupid. I hate the trend in modern movies where everything bad that happens is always caused by people being stupid and doing stupid things. Like literally people making 10-20 Darwin Award ideas every movie. Literally in this movie, there is a big ""Super T-Rex"" dinosaur which is running around, and someone thinks that the proper move is to release a bunch of smaller Raptors to go hunt it down... like... what the hell...? You MUST be kidding. Raptors are PREY for T-Rex. It is a smaller predator which presents ZERO threat to the T-Rex, but MAXIMUM threat to humans. No human being who doesn't have a permanent retard helmet strapped to their head would have ever made that ""executive decision"". That's as stupid as sending a bunch of hunting dogs to go kill a Lion which is on the loose. Or a bear or something. And we are all little furry bunnies or something, so the dogs could easily just kill us for fun anyways. It is obvious that Raptors are only effective at killing small, human-sized prey... it just makes no sense. It is nothing but FRUSTRATING for the viewer, we're sitting here frowning and saying to ourselves, ""nobody would EVER do that!"".Anyways, MAJOR PLOT decision by the producing team... and it was a total disaster.. They should have gone back to the white board and came up with another plot idea.Another thing I hate are those STUPID ANNOYING scenes where everyone is running and frantically screaming in fear all around you, but the main characters are just standing there talking to each other like nothing is going on, just having a little chit-chat while there's dinosaurs running around, and people dying. Or when the two boys were running away from the T-Rex and then they got to the edge of a waterfall, but instead of jumping without hesitation like any normal person who is about to die would have done, they turn to each other and say ""Are you ready to jump? Let's do it together, OK? On the count of three, one... two... THREE, JUMP!"" Seriously, F that scene. That sh*t pisses me off so much.Stuff like that just makes a movie seem silly and stupid to me. I can't get ""drawn in"" where I feel the tension, and feel like I'm right there experiencing the adventure with the characters. Instead, I'm constantly reminded that I'm watching the product of mega-producers and corporations, who think the general population is only interested in special effects and explosions and beautiful people saying stupid lines. I remember watching the first movie, and as the final scene was closing and they were flying away from the island, I breathed a heavy sigh of relief, because I felt like I had JUST BARELY escaped the same dangers as the main characters had. I felt like I was there the whole time. But when I finished the newer, more ""modern"" JURASSIC WORLD, I felt zero emotion, absolutely nothing as the movie was ending. Instead, I just thought to myself ""Well, those were some really cool special effects, the movie sure had a large budget!"" In order for a movie to be captivating and really give the viewers a unique experience, you must mesmerize them and put them in a trance where they forget they are watching a movie. All those STUPID, HORRIBLY UNREALISTIC lines, actions, and mistakes made by the cast throughout the entire movie do nothing but slap me on the face each time it happens, only to remind me that I am, in fact, watching a movie.I would watch the first original Jurassic Park movie 10 times before I watch Jurassic World again! >:["
3,Top Review is Shill Nonsense,4 December 2017,This is NOT a good movie.IMO this is the worst of all of them. The plot is nonsense. The CGI is over the top and takes you out of any kind of immersion.The ending is predictable. The characters are bland. There isn't much you can redeem from this movie. I guess some of the ties to the original location is alright. Jake Johnson is cool
3,Another piece of modern trash.,1 November 2017,"There is a young, handsome (I suspect), super skillful man, a charismatic guru. There is a young, pretty woman, a bit retarded and limited in her interests, often career-oriented. Monsters comes, people die, only a handsome superhero can save a day. A girl changes her shoes and/or shirt and becomes a superwoman in about 30 seconds, instantly gets expertise in gymnastics, combat, weapons handling, strategy and kills monsters together with a handsome guru (although the monsters had no problem with killing 1000 heavily armed troopers. Or maybe it is all that eating that made monsters slower?).The above is a screenplay for most of action/adventure/SF movies during the last 5-10 years. Doesn't matter if it is a new episode of Star Wars, or Jurassic Park, or Aliens, or some Passengers, or Interstellar - there are some superficial, cosmetic changes, but when I watch it all I can see no differences. It can be set in a jungle or in space, the clothes differ, the monsters can be humans, maybe there is a slight change in the roles played. But there is never any depth, no real personalities, no emotions, no basic logic. It is just colorful, fast, shimmering and loud. Am I getting older? Perhaps. If so, I am really happy and proud that I am not young if it means that I would have to have a brain capable of enjoying such a crap."
1,Megacraptor Rex,30 October 2015,"Two decades after the original Jurassic Park, the company behind it is overcome with greed and decides to capitalise on the dinos once again, but since everyone has seen Whatevertheirnameis-sauruses by now, they need to create new monsters to keep the ""Wow"" factor up.So it decides to produce the movie Jurassic World, in which, two decades after the original Jurassic Park, the company behind it is overcome with greed and decides to capitalise on the dinos once again, but since everyone has seen Whatevertheirnameis-sauruses by now, they need to create new monsters to keep the ""Wow"" factor up.It's either an irony of fate or a sly jab at the ever-fossilising motion picture industry that the storyline of the film and the narrative of its conception are so strikingly similar. And I'm afraid I'm not inclined to thinking it was intentional.As ridiculous as the premise of the film is – fill Dino Island with people, let a number of scary ones loose, and then indulge in blood and screams and make sure the obligatory two lead kids get away in the end, where on Earth have we seen that before? – as poorly written the script is. Apparently, the first draft only took three weeks to throw together. I'm surprised it didn't happen in three hours. Loose ends are dangling all over the place like severed sinews from consumed tourists, the archetypal characters are nothing but a poor joke of the ones in the original trilogy (geeky and untidy computer nerd, lone hero scientist who understands that life doesn't follow spreadsheets, greedy business execs who want to make money from the monsters, and lo and behold, the Nasty Military Man who wants to weaponise them, et cetera ad nauseam), and when characters actually have to TELL each other to ""RUUUUUUUN!"" instead of standing still, waiting to become a quick snack, palm goes firmly on face, at least for this reviewer.You're-a-sick World indeed. Could someone please apply a suitably large nuclear bomb onto Isla Nublar, so that we won't have to endure a Jurassic 5."
8,Nice film),7 June 2018,"Twenty years ago, people decided to play with evolution and resurrected long-extinct species. The amusement park, where the main attraction was dinosaurs, was to be a hit, but became famous for its tragic deaths. After a while people decided to give a lucrative idea a second chance, and here appeared the ""World of the Jurassic period"", offering visitors an unforgettable family vacation. But how much safer is it than its predecessor?Return to the big screens of great and toothy was just a matter of time. The story was too good to leave her alone. Inspired by a new life entrusted to director Colin Trevorow, who himself is a big fan of dinosaurs. He decided to show how he could bring the insatiable and out-of-control desire of humanity to be constantly entertained. In pursuit of money and new impressions, they bring out a new species, never before stepped on our planet. What can go wrong?The characters of the film, especially as for those who work in such a dangerous amusement park, where accidents happen all the time, are mostly too careless and narrow-minded. The owner of the island does not know at all what is being deduced in his laboratories, the security system operates only when the animals behave decently, one wants to write down as a matter of fact the wild raptors to serve in the army, and children can easily escape and during an alarm to stay alone on the field among dinosaurs, because the employees of the attraction are too busy saving their skins and incompetent to the limit. And what to do, when a huge dangerous predator of a new breed escapes, nobody knows at all.Well, that on the island works a certain Owen, who almost only understands that dinosaurs are living creatures, not toys. Chris Pratt's play here is pretty plausible, especially its interaction with the raptors. In the light of rumors that he might become the new Indiana Jones, it was nice to see him in a similar image, which he is very much following. The Pratt company is Bryce Dallas Howard, for whom this is the next vivid role after the ""Servants"". She has her own moments and potential, but it feels like the writers specifically held her back so that she did not become equal with him, preferring to keep her heroine in the shadow of Owen. By the way, the only actor from the original was BD Wong, who again embodied Dr. Henry Wu.""The world of the Jurassic period"" is clearly aware that it is simultaneously the continuation of the original, and the restart of history, which should breathe new life into the franchise. To the very original, creators reacted almost with sacred trembling, references to ""Park"" are found throughout the entire film. There is even a character-geek performed by Jake Johnson, who seems to be the embodiment of the fandom.Steven Spielberg, of course, put his hand to this continuation of his prehistoric brainchild, but only as an executive producer. Together with Trevorow and the huge team behind the creation of this blockbuster, we are going to an island where many would like to visit, despite the deadly danger in its cages.The dinosaurs themselves on the screen impress with their realism. When raptors appear, it's like seeing old and almost kind friends. With them, there are a lot of great moments, in particular their communication with Owen. Their joint pursuit, depicted on the poster for the film, is one of the most exciting moments of the franchise. But the most impressive episode is the final battle of dinosaurs. I was delighted with who the writers were instructed to save everyone from the new predator. The original is always steeper than any remake.Continuing 2 hours, this adventure will not let you get bored and will please the dinosaur lovers, who opened their mouths with surprise and delight at viewing the ""Park"". The plot of ""Peace"" is based on the idea that formed the basis of the original: people played in the gods. Heroes again create what they can not control, and then pay for it. It would seem that it is time for mankind to learn from its mistakes, but, judging by the history, we often do them again and again. And the creation of dinosaurs is far from the most serious of them.Crossing the types of the most dangerous dinosaurs, it is worth to be prepared for the fact that family rest on such an island will turn into a chase for survival."
10,Great 3D movie,21 October 2015,"This film combines the stories taken from king Kong and The lost world,25 version.Bryce Dallas Howard Plays a Bitchy corporate executive ,who can't get with her nephews on Christmas holidays ,played by TY Simpkins and Nick Robinson, that her sister has sent them for visit,played by Judy Greer.Bryce works for a huge corporate amusement park that focuses on dinosaurs.Bryce can't make time for her nephews,so they wonder on their own.She a a troubled working and personal relationships with a dinosaur trainer and activist play by new movie star Chris Prat.Though owner and designer of the a park Irrfan Kahn ,who is more concerned about people having fun than how much profit has increased.Chris has a problem working relationship with Vincent.Vincent believes that the dinosaurs should focus on killing each other ,but, Chris believes they should be trained for peace.Well, there is one dinosaur that was create artificially ,for a new part of the park ,to be open soon.I call him T.Rex Kong. A problem arises he not following instructions and eats another dinosaur .All hell breaks loose when he jumps the wall and terrorizes the customers the customer of the park making a nice meal out of some of the worker and security guards .The dinosaurs were so realistic and were digitally created . Earlier Jurissic Park had used some puppets .The movie is made in style of an amusement park .It seems that the character development is shorter for the sake of the action.In some out takes that was shown ,flat, indicated that may be some of the shots should have been kept of the character development.It was not even.Did you see the little old fashion camera that the smaller nephew was carrying?could indicate Hollywood dislike towards home digital cameras?Chis originally did a you tube joke about him getting a job in Spielberg's next Jurassic movie .I think it was you tube.His dreams came true. Another problem was that the characters and the whole atmosphere of the movies and sets were cold and stoic.Even the kissing scene was cold and the family reunion scene,which Claire's sisters husband was played by Andy Buckley, was also not warm..E.T ,Poltergeists and Star Wars was far more Warmer.What's the problem?I am afraid it's a real world currently problems in general.Hollywood has always pretentiously serve the establishment ,for profit,then claims they serve the masses.This movie reflects our phony liberal side of big business and the wealthy running our government and exploiting the animal rights and environmentalist ,who are desperate for a quick answer to protect animals and the environment as well a s fanatics and those who have a contempt against the human race ,due to constant warmongering ,for profit and political power.This reflects pitting animals and the environment against humans ,very subtle, in this film,but,this is an outer problem.In spite of this it is an excellence film,Gorgeous sets and realistic dinosaurs ,Bryce in her 1970's hair do,which has become popular again and handsome leading man Chris Pratt.I was certainly satisfied with this movie.Both 3D and flat were good. The sound was arousing and excellent .No out of synchronizing problems here,since both images are in a folder stabled .Great for Dino fans and 3D fans. 10/21/15"
3,Bleah,3 January 2016,"A dull monster movie without ideas, with all the imaginable problems: recycled soundtrack from the previous three film, poor visual effects (the '93 film was indeed better even under this aspect, and that says it all), horrible ""dinosaurs"" that look more Godzilla than ""true"" animals (and yes, it's a very serious problem that these animals don't look or/and act as real animals, at least as they're conceived to be in XXI century and not in '40s), badly-written dialogs (with a sort of ""love story"" that is embarrassing), characters (dull not to say stupid) and plot. All this problems all in once, and without any decency. To conclude there are the two boys, the most boring and annoying characters in the Hollywood's history."
10,The Nostalgia is real,29 October 2015,"Jurassic world is the #1 movie in America. This movie deserves the right to be called back especially with all the money it earned especially in the first week it was out. It's been 14 years since the last time I saw Jurassic Park. I never would have thought that they would be making a Fourth one and when I heard they were making a new one I was ecstatic. It brought back all the memories of the first 3 films. When the day came for Jurassic World to open it had to go see it on opening day and I did. The movie gave us the same feeling Jurassic Park 1 did ""Welcome to Jurassic World"". The new park looked amazing showing that John Hammond'so dream finally came true. The music was more amazing than ever, the original Jurassic Park theme was re-prised to show how much thing had changed in 14 years. The main attraction of this movie was the Indominus Rex and hybrid of T-Rex, Raptor, cuddle fish, and Tree frog and terrifying intelligence. At the end of the movie we get to see the original T-Rex from the first movie roar for the last time after the park was closed for good. This movie brought back so many memories for so many people. I can't wait for the next one."
