score,title,time,review
4,"Some fun moments, but ultimately not a good watch overall due to the lack of a plot really",11 September 2016,"""The Secret Life of Pets"" is one of the most known animated films from the United States this year (2016). The two directors and four writers who made this include a couple names that worked on films from the Minions universe, so nobody should be surprised that a Minions short film runs before ""Pets"" and there is also another reference at the very end with one of the pets being dressed like a Minion. But back to this one here. I was as unimpressed by the outcome here as I was by the newest ""Minions"" movie. The film runs for approximately 90 minutes and gives us an insight into the life of pets and what they do when their owners are off to work and not in charge. Heard that before? That's right. The general idea here reminded me a lot of the Toy Story approach to things. And there are more references. For example, the two main characters (dogs) felt a lot like the protagonists from the ""Monsters Inc."" universe in terms of their size and interactions. So yeah, ""Pets"" definitely borrows a lot from other films, but what is the most disappointing thing is that it tries to be creative in his own right at times, but almost never succeeds and this is pretty shocking looking at how many films worked on this one.""Pets"" is definitely not a failure and there are several parts where I enjoyed it from the comedic perspective. I also liked some minor references, for example early on about how the main character does not like to be at home alone. The comedy is not the problem here. It is the emotional impact. The only part where it is close to making one is when we find out about the new dog's owner and his journey back to his old owner's house. Other than that, the drama is entirely forgettable and good animation is just not enough anymore today on the level of Pixar quality. There are many flaws with the story in here. First of all, the makers thrown in one character after the other without really elaborating on any of them. Honestly, counting all the (lost) pets, there are enough characters for three films in here. Another problem is their behavior. It felt a bit strange how they quickly stepped in for each other out of nowhere when moments before we still felt that they did not like each other at all and this refers to the two dogs as well as the fluffy white rabbit who turns out the main antagonist. We see all the time how evil and cold-hearted he is and then out of nowhere he risks his life for his enemies basically.Another big problem I had with the film is that I had no idea what the characters' goals were throughout the film, at least for the two dogs. Enjoy a day out? Run from the lost pets? Run from the dog-catcher? They were just out there and it really had no purpose and then in the end they return home safely and it's all good with everybody being friends with everybody. I was not convinced at all. Also about the love interest of the main character, there was contradictory behavior. On one occasions she acts as if she wants nobody to know who she has a crush on and then she screams it out to everybody. It was pretty bizarre and the writing really lacked a lot on some occasions. This is also why my overall verdict for the film is negative. I give it a thumbs-down and if they ever make a sequel I must say I have very little interest in seeing it as this film was quite a disappointment and for me personally, it is nowhere near being a contender for best animated film of 2016, even with all the known voice actors in the German as well as English version. Not even for Louis C.K., everyone can be a winner."
4,The best bits are all in the trailer,7 October 2016,"The trailer was looking promising. Lots of laughs and clever humour. Hopes were high as the trailer for Zootopia was inciting and that film did not disappoint. However, Secret Life of Pets turned out to be a fizzer. Excessively violent for a children's film, not funny or clever and really rather odd. The characters are not developed which means that the audience doesn't particularly care what happens on their quest. The stand out of the film is the husky little white fluffball of a dog. I think this film is aimed at children, though the guy down the row from me was certainly laughing a lot (while I was taking power naps). Not the same caliber as Despicable Me."
7,"Cute Movie, But A Bit Over-hyped",12 July 2016,"After hearing people praise this movie, and seeing how much it was advertised, I was curious to see this. Now, I've never loved Illumination's movies, but I've never hated them either. I don't mind any of their films, but I feel like they're not as innovative as certain other animation companies. Hearing how much people loved Secret Life of Pets gave me a bit of hope that perhaps this movie would be Illumination's breakthrough. The one that would have the best animation, story, characters, emotions, etc.Unfortunately, Secret Life of Pets just ended up being another okay movie for me. Right when I saw the trailers, I was reminded of Toy Story with the plot. I feared that the plot would be predictable, and it definitely was. A few different things were thrown in, but as a whole, the story was pretty predictable. One of the different things that was thrown in had potential to be a really emotional scene. This is a spoiler, by the way. Anyway, Duke finds out that his original owner had died, which could've led into an emotional scene, like in Finding Dory when Dory was made to believe her parents were dead. But the whole scene failed. Firstly, it was told, not shown. A random cat just gives the news to Duke. Second, Duke barely reacts to this, despite the movie going out of its way to show us a montage of him with his owner. He just gets mad at the family that moved into the owner's home before getting caught by animal control. After that, it's never mentioned again. Duke is just fine with his owner being dead, and living with a new owner and Max. This really bothers me, since as I said, this scene had potential to be emotionally provoking. But it didn't take the chance.Our main characters didn't interest me. Max is just another typical good guy that just wants a good life. Duke was just another lovable big guy who may be a bit slow. However, the only characters that made me laugh/I enjoyed were Gidget, Snowball, Tiberius, and Pops. Gidget and Snowball were the ones that really shined, though. Gidget was just plain adorable, and hilarious. As for Snowball, I'm not a big fan of Kevin Hart, but he really did a great job for his first animated film. I personally prefer him doing voice work than him in live action films. He managed to make me laugh multiple times as Snowball. That bunny may be cute, but he's totally psychotic. As for the rest of the characters, they didn't really interest me. I don't hate any of them, but they were pretty generic.I also am sick of the Minions. They got old when their own movie was made. I won't mind seeing them in Despicable Me 3, since we'll only get small doses of them, but having them constantly shoved in our faces is getting annoying. The short that came on before Secret Life of Pets was just stupid. No experimentation with the animation or characters. Just plain stupidity. They also had one of the dogs in Secret Life wear a Minions costume, and I just rolled my eyes. Minions may make Illumination money, but not many people care about them anymore. I certainly don't.I do have some positive things to say about this film. The animation was impressive. I was particularly impressed with how they animated water, and the mannerisms of the pets. Which leads into the next thing I liked about this. I admire how much the creators of the film did their research on not just dogs, but most pets people keep. They were spot on with how dogs, cats, birds, etc. act. As a dog and cat owner, I appreciate the humor/realism that went into the pets, and they reminded me of my own pets.As a whole, this a cute, but flawed film. I wasn't impressed with most of the characters. The story was predictable. Nothing about this film was thought or emotionally provoking. However, I appreciated some of the film's humor, animation, and the research that went into the mannerisms of the pets. It's a shame that this wasn't Illumination's breakthrough. Sure, it's making a lot of money, but it's still just an alright movie. Hopefully one day, Illumination will make a film just as great as the likes of Zootopia or Inside Out. The Secret Life of Pets just isn't that film."
4,Not much here,26 June 2017,"Unlike some of the better Pixar animated feature length films (like Finding Nemo and Toy Story) there's really not much here. (In spite of the fact that it borrows liberally from these movies, and certain Disney classics.) Don't know if it was just a ""me too"" money grab, or if the writers/producers intended to convey more depth, and just missed. The gags are cliché, the characters are very flat and rehashed at best, boring at worst. It drew laughs at a couple of points, but mostly my reaction was ""yeah, that was much funnier when (fill in movie here) did it"". The movie clocked in at less than an hour-and-a-half, but seemed much longer. That's not a compliment - it dragged. Maybe it was targeted only at young kids, and maybe young kids will enjoy it more. It actually did seem to have more of a Saturday morning cartoon feel than a feature-length film feel. Maybe you'll enjoy it - there certainly are more than a few positive reviews here - but it's not one that I'll watch again (unlike some of those Pixar and Disney movies which stand up to repeated re- viewing)."
6,Flavorless but You Could Do Worse,20 July 2016,"I start this review by first acknowledging there's nothing wrong with this film from a family-oriented entertainment point of view. It's colorful, it's fun at times, provides a positive message about acceptance and provides a clever enough high concept to keep the kids on their keesters for 80 minutes. As a rudimentary children's film, you certainly can do worse.The problem with The Secret Lives of Pets stems from its complete inability to marry story, character and concept into a discernible package. As it stands, the film is rushed, bulky and is chalked full of nonsensical choices that cripples any verdant ideas that could have been. It's a first draft; not a final product.The story begins with a happy Jack Russell Terrier named Max (C.K.) who lives with his owner Katie (Kemper) in a surprisingly roomy Manhattan apartment. Things change drastically and suddenly with the arrival of Duke (Stonestreet) a large, shaggy Newfoundland whose introduced as a ""new brother"" to Max's chagrin. They, of course don't get along and after a series of confrontations find themselves lost. The first to notice they're missing is a lovestruck Pomeranian named Gidget (Slate) who recruits the rest of Max's friends among others to recover them from the vast streets of New York City.The rest of Max's friends are barely worth mentioning as they're mostly utilized to push the buttons and pull the levers on some uninspired comedic set-pieces. They're not really useful to the plot, nor do they succeed in being the Toy Story (1995)-inspired resilient and diverse gaggle the movie hopes they are. Part of the reason for this is none of the side characters actually solve any problems. They jet here, they jet there but when faced with any obstacles they just seem to rush it. Gone is the creativity of having Mr. Potato Head fashion a new body out of a tortilla; now we have elderly Basset Hound, Pops (Carvey) hobbling through construction sites with stalwart confidence.Frankly focusing on the story's tagged-on villains might have paid more dividends. The broad machinations of Snowball (Hart), a bunny with delusions of grandeur are easily the best part of the film, even if they remain painfully underdeveloped. Additionally his ""Flushed Pets"" group could have complicated Duke's allegiance to his new owner or more easily pegged Max as a fully socialized pet and therefore in need of re-education. Snowball was the best chance the movie had in getting audiences to truly know the characters we're supposed to be rooting for but instead they blew it on prolonged chase sequences and a sausage factory bit that goes absolutely nowhere.And that gets me to the biggest problem I have with this film; the creators' approach to the high concept itself. The film tries to have its cake and eat it to, portraying characters with innately human characteristics but still clinging to the charming pet-like idiosyncrasies we know and love about our furry friends. For example, Gidget recruits the help of Tiberius (Brooks) a hawk who at first tries to eat her. She barely escapes his talons only to trust him once more because that's just what a peppy little dog would do. Max's friends Mel (Moynihan) and Buddy (Buress) don't even notice Max is gone because, being dogs, they're distracted by butterflies and squirrels. They're certainly not a rag-tag group of lovable rogues, they're a confederacy of dunces, successful only because of the ever changing allegiances of the main antagonist. Oh yeah, I almost forgot to mention Snowball at one point joins forces with Max to save Duke in a climactic sequence so blithely unnatural it renders the friends search and rescue completely moot.This film is a rushed, characterless, flavorless kids film that just barely stretches its plot over the skeleton of its story structure. As I said before, if all you're looking for is a bland and forgettable family film, you could do worse. Yet provided it's appealing concept, you'd really think the animation studio that made Despicable Me (2010) could do better."
9,Entertaining and amusing,26 June 2016,"26 June 2016 Film of Choice at The Plaza Dorchester Tonight. - The Secret Life of Pets. Max is the spoiled only dog belonging to Katie. His whole world revolves round her and when she brings Duke home from the pound, Max is more than a little miffed. Duke and Max fall out but are forced to help each other when they get lost and into many scrapes during the course of their day. This film, although not side splittingly funny was very amusing and the film makers are so very clever in creating a personality for each and every one of the animals in this film. I think we secretly all hope our pets have fun lives when we leave them home alone, and this film very cleverly moulds each pet to its owner and each house to fit it's pet. Applause must be given to the animators, the details which have been created in the cityscape is incredible, take time to look behind the animals for the skylines, the water, ever the sewers have so much crammed in to them I think you would need to see the film several time to take it all in, it's a long way from ink and paint!!!!"
5,the secret life of pets,4 August 2016,I went to see this with my sister and my cousins and we enjoyed it. It was funny silly and my favorite illumination movie it's worth a watch and it is definitely better than minions it is fun for the whole family. I could not stop laughing at this movie it so many great characters. the cast is pure amazing my favorite character was Kevin Hart's character snowball he was the most funniest character in the movie I don't know why this movie has a 6.8 it should have at least a 7.8. It brought me laughs from beginning to end. This movie will hopefully inspire illumination to make make new franchises next or you know despicable me 3 it's defiantly going to be that.
10,"Funny, Lighthearted, and Appropriate for All Ages!",28 July 2016,"I'm surprised this film got such a low overall score by users. I thought is was a blast. I am not an animated movie fan in the least. I normally like dark movies, dramas, sci-fi, and horror. This was the first animated film I have seen since Avatar, (which isn't the same type of animation really,) but when I watched the trailer last year, I thought it would probably be good. And it was.The movie delivered exactly what it promised: laughs. It's not earth shattering, mind blowing, and it doesn't explain the meaning of life in 90 minutes. But it's not that type of movie. It's a summer escape film, one that is a little different from the 1000th superhero movie or Sequel #10 of The Current Film of Mediocrity, and one that you can bring your children to without worrying about covering their eyes and ears every scene. There are a couple of scenes of mild violence or almost violence, but they aren't any worse than Bugs Bunny and his adventures with the Roadrunner (I suppose that reference dates me lol). What I liked the best about the movie is the way it demonstrates the thoughts and behaviors of the pets to the viewer. As a Great Dane owner, I often wonder what my dogs are thinking/doing, especially when I'm at work, and my ideas are similar to the writers. Their thoughts and conversations were the funniest parts of the film, and the scenes and soundtrack combined with the dialogue to form a lighthearted, enjoyable story."
9,"Laugh Value, Character Value, Music Value.",10 July 2016,"I saw the trailer for this movie last Summer and the first thing I said was ""I have to go see this movie."" So, needless to say I've been looking forward to this film since last summer and I had very high expectations for it. I am pleased to say it went above and beyond and met these expectations, I absolutely adored this movie and would recommend it to anybody of any age. First things first is starting from the beginning and the introduction of the characters and I thought Illumination Entertainment did a fantastic job in presenting each individual. As an audience we knew after the first ten minutes who each character was, their relationships with each other, and the individual personalities. For an animation film I was really pleased with this because you normally don't get that character depth in the beginning and sometimes you never get it in the film. As the story went on the characters developed at an individual level as well as a relationship level with others which added to the plot line drastically. Not to mention the actors and actresses who portrayed each character were spot on with the voices. However, the icing on the cake for the entire film for me was the soundtrack. The soundtrack is very important because it not only sets the pace for the film on screen but it also changes your emotions and tells you when you need to be sad, scared, happy, etc. That is exactly what this soundtrack did and it pleased me because without that human interaction happening on the screen, because it was animated, the music filled that gap and allowed your emotions to change. One problem I did have with the movie, and this was more towards the end, was the humor. The humor made me laugh in the beginning quite a bit but by the end of the movie the humor was starting to become more outrageous. Almost as if they were trying to hard to make it funny. Now even though this humor was changing a bit as the film went on it was not enough for me not to suggest seeing this movie for its laugh value. Overall, if you have a family, kids, husband, or just want to see this movie with friends I would definitely recommend. You'll laugh, you'll cry a little bit, but most importantly you will leave the theater happy."
10,Worth to watch,9 August 2016,"I was waiting for this movie since first trailer was launched. And when i had opportunity to watch it, i was more than happy. Great story line, reminds me Garfield and his new ""friend"" dog. Many characters such as lazy cat and hamster who can't find his way home made movie incredible funny. I love Kevin Hart voice and his expressions being that little, loud and angry bunny makes it more interesting. The writing was excellent, made my mom, youngest sister, and myself constantly laugh. To the targeted demographic that the film focuses on, this film will be a sure fire box office hit to them. I hope that there will be a second part of this life of pets."
