score,review,time,released,﻿순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
7,크리스가 2층으로 올라갈때 떠들썩하던 1층사람들 갑자기 조용해질때 소름 이장면이 제일 무서웠음,2017.05.18 14:32,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,마지막에 경찰차가 오자 자연스럽게 두손을 드는 주인공의 모습이 슬펐음 차별을 당연시 여기는 느낌이라..,2017.05.19 15:49,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
8,"와, 초반에 여친이 흑인남친 면허증 안보여 주려고 했던거 설계였네 경찰한테 꼬리 잡힐까봐,, 백인경찰이 편견으로 흑인 검문 때리는 줄 알았는데 지리네 설계",2017.05.17 02:05,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,경찰차가 왔을때 모두 다 긴장했을듯 ㅋ,2017.05.17 01:31,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,다시는 커피 못저어먹는 영화,2017.05.17 07:35,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
9,근데 여자애는 그렇게 중요한 사진을 그리 대충 보관하냐,2017.05.17 07:51,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,영화에서 그인간들 ㅋ. 왜그렇게 주인공이 담배를 못피게 하는지 나중에 생각해 보면 참 ㅋ 무섭다 ㅋ,2017.05.18 16:31,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,관람객반전잼 !! 음악도 좋았고 영화에 나오는 뚱띠 흑인친구 겁나웃김ㅋㅋㅋ,2017.05.17 14:54,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,솜뭉치 하드캐리...,2017.05.17 23:34,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
10,이 영화는 특히 결말과 함께 곱씹어 보는 복선들을 다시 생각해 보면 소름돋을듯.. 미쳤음,2017.05.17 02:47,True,92,겟 아웃,조던 필레,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-05-17,개봉영화,장편,미국,945,17431570075,"2,138,146",5334272375,"630,367",공포(호러),15세이상관람가,상업영화
