score,review,time,released,﻿순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
8,애기들 데리고와서볼꺼면 다른사람들한테 피해좀안가게해주세요... 애니메이션좋아서 많이보는데 매번 너무시끄러움,2016.08.03 12:59,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
10,영화 상영하는곳이 왜이리 적나요? 퇴근하고 보려고 해도 적절한 시간대가 하나도 없어요 .. ㅠㅠ 페북에서 광고도 엄청 했는데 상영관이 적어서 ...,2016.08.03 09:10,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
8,제발 애1새1ㄲ1 데리고 볼꺼면 더빙으로 가라 제발 시끄러워죽겠다ㅡㅡ,2016.08.03 22:30,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
8,"관람객더빙으로봐서그런지 어린이를대상으로만든건지 약간 유아틱한느낌이들었습니다만, 재밌게봤습니다. 라따뚜이정도를 기대해서그런가 약간아쉬웠습니다 ㅠ 끝나고 스티커나눠주던데 애들만주는게 좀슬프더군요",2016.08.03 11:11,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
8,베댓님 말씀처럼 아이들 데리고 오시면 에티켓 좀 지켜주셨으면 좋겠어요... 애니메이션이지만 아이들이 소리지를 때마다 몰입에 방해가 됩니다. 이해를 못하는 건 아니지만 영화가 시작하기 전에 주의좀 주셨으면 해요...,2016.08.04 01:43,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
1,당신들의 자녀가 공공장소에서 시끄럽게 떠드는데 주의를 주지 않았다는 건 가정교육의 필요성도 못 느끼는 빵점 부모라고 해도 당신들은 반박할 수 없을 겁니다.,2016.08.08 18:37,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
1,의자 발로차는 애새끼 때문에 영화보면서 기분 조졌다 가정교육을 어떻게 처 받았으면 차지말래도 들은 척도 안하더라 더빙판은 왠만하면 보지마요 애새끼 때문에 영화집중못함,2016.08.06 20:35,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
9,"일루미네이션의 귀여운 신작. 슈퍼배드, 미니언즈 만큼 재밌었다! 앞에 미니언 나오는데 짱귀여워요",2016.08.03 09:07,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
10,가족끼리 보기 좋은 영화입니다. 특히나 아이들이 더 좋아할듯 미니언즈도 앞부분에 나오고 펫들의 이야기 잘 다룬 영화. 도리만큼이나 재밌어요. 감동적이기도하고 특히나 두얼굴의 토끼가 제일 웃김,2016.08.03 01:26,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
8,하아..극장에선 조용히 봐야하는게 당연한데 너무 당연한데 어린애들이 너무 시끄러웠다. 애기니까 어쩔수없다? 그럼 극장에서의 예의는 개주고 고양이주고 토끼줘야 하나. 왠지 애니는 애기들이 보는건데 다큰놈이 와서 이걸 왜보냐고 하는 사람도 있을것같아 무섭,2016.08.04 12:03,True,81,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,개봉영화,장편,미국,726,19379904655,"2,517,805",5360235715,"656,542",애니메이션,전체관람가,상업영화
