score,review,time,released,﻿순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
10,애들 보여주러 갔다가 내가 더 웃었다. 진심 빵 터지는 가족 영화.,2017.05.06 04:56,True,83,보스 베이비,톰 맥그라스,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,"1,116",18918869704,"2,450,023",4724943504,"582,820",애니메이션,전체관람가,상업영화
10,"관람객핵꿀잼 매력포텐 터진 보스베이비!!!! 진짜 간만에 초집중했다. 시크함과 귀여움이 공존! 더빙도 꼭 볼건데, 다들 꼭 보세요. 두번 보세요!!",2017.05.03 10:45,True,83,보스 베이비,톰 맥그라스,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,"1,116",18918869704,"2,450,023",4724943504,"582,820",애니메이션,전체관람가,상업영화
10,관람객꼭보세요 정말 꿀잼조금 늦게 입장했는데 후회되네요입장후부터 끝날때까지 웃었습니다어린이들의 상상력을 이렇게 표현하다니 정말 대단한거같아요,2017.05.06 23:31,True,83,보스 베이비,톰 맥그라스,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,"1,116",18918869704,"2,450,023",4724943504,"582,820",애니메이션,전체관람가,상업영화
10,보스 베이비 알고보면 애기 혼자두면 큰일나요 All day~,2017.05.03 10:38,True,83,보스 베이비,톰 맥그라스,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,"1,116",18918869704,"2,450,023",4724943504,"582,820",애니메이션,전체관람가,상업영화
10,관람객보스 베이비 넘나 매력적임 >_<나도 저런 보스가 있었으면...,2017.05.03 09:44,True,83,보스 베이비,톰 맥그라스,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,"1,116",18918869704,"2,450,023",4724943504,"582,820",애니메이션,전체관람가,상업영화
10,관람객내용아 신선하구 재밌네요,2017.05.03 10:46,True,83,보스 베이비,톰 맥그라스,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,"1,116",18918869704,"2,450,023",4724943504,"582,820",애니메이션,전체관람가,상업영화
10,진짜 보는 내내 입가에 미소ㅠㅠ 진짜 너무귀엽고 재밌었음,2017.05.03 19:10,True,83,보스 베이비,톰 맥그라스,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,"1,116",18918869704,"2,450,023",4724943504,"582,820",애니메이션,전체관람가,상업영화
10,와 이건 소장각 다시볼의향 200프로 두번보새오 제발,2017.05.05 23:42,True,83,보스 베이비,톰 맥그라스,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,"1,116",18918869704,"2,450,023",4724943504,"582,820",애니메이션,전체관람가,상업영화
8,아기들은 대놓고 너무나 귀엽고 보스베이비의 언발란스한 대사는 어른들마저 빵빵 터트린다. 주인공이 정말 역대급 캐릭터다. 그에 비해 스토리는 좀 허술하지만 무지막지하게 귀엽고 재밌는건 사실이다.,2017.05.04 02:02,True,83,보스 베이비,톰 맥그라스,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,"1,116",18918869704,"2,450,023",4724943504,"582,820",애니메이션,전체관람가,상업영화
10,기발한 이야기를 너무 재밌게 했어요! 핵꿀잼,2017.05.03 20:55,True,83,보스 베이비,톰 맥그라스,,씨제이이앤엠(주),씨제이이앤엠(주),2017-05-03,개봉영화,장편,미국,"1,116",18918869704,"2,450,023",4724943504,"582,820",애니메이션,전체관람가,상업영화
