score,review,time,released,﻿순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
10,겁나 재밌구만 무슨 ㅡㅡ 국산영화 알바들 개쩔어,2015.05.21 03:29,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
9,감독이약빨고만든듯분노의질주의제이슨스타뎀은잊으시길...2시간내내웃다옴ㅋㅋ,2015.05.21 00:27,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,시사회로 보고온 평입니다. 이만한 오락영화는 거의 없을듯합니다. 오락영화가 가질 요소들은 다 가졌고 반전도 좋았습니다. 추천합니다.,2015.05.21 07:16,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
9,난 179가지의 독에 면역되어있어,2015.05.21 20:12,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,이런게 오락 영화지 빵빵터졌다 2시간동안 즐거워,2015.05.21 03:02,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객이거 완전ㅋㅋㅋㅋ짱웃김ㅋㅋㅋ완전 강추해요 아대박 진짜 친구랑 웃다가ㅋㅋ 꼭 보세여,2015.05.21 19:27,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
8,마이크 잡고 닉포드 찾을때 웃다 죽을뻔,2015.05.24 23:55,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,병맛 같은 재미ㅋㅋㅋㅋ 스타뎀 비중이 적어서 아쉽긴 한데 그외 훈남이 장난아님,2015.05.21 10:12,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
9,관람객간만에웃긴코메디영화를봤네요..코메디라구해서스토리가떨어지거나하지도않고좋았습니다,2015.05.21 13:02,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,알바는 극혐이지만 영화가 재밌는건 사실이기에 10점,2015.05.21 01:46,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,이국주와 홍진경의 유럽여행,2015.05.31 22:45,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객여자 스파이에 대한 편견을 과감없이 깬 영화! 날씬하고 예쁜 애들만 스파이 하란 법이 어딨냐 ㅋㅋ 멜리사 언니 짱 멋짐! 그리고 무엇보다 영화 넘 재밌어 두 시간 내내 깔깔 웃었네! ㅎㅎ,2015.05.22 15:22,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객제일 좋았던건 진짜 처음부터 끝까지..심지어 엔딩크레딧까지도 웃기다는거. 아 완전 좋음 ㅋㅋㅋㅋ,2015.05.22 14:50,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객아진짜최근본영화중에 젤재밌다!!!!,2015.05.21 19:06,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객너무 복잡하지도 않고 기분좋게 웃을 수 있는 영화에요!!,2015.05.21 15:48,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객완전 내 스타일ㅋㅋㅋㅋ 아 캐릭터 귀여워 죽겠음. 졸잼 꿀잼!! 멜리사 맥카시 팬 됬음,2015.05.22 14:50,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객영화관이 꽉 찼고 다른 영화랑 다르게 관객들이 많이 웃으시더라구요.,2015.05.21 17:06,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,제이슨스타댐 이런 연기도 ㅋㅋ,2015.05.21 17:37,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,주말에빵빵터지는영화 한편보시죠ㅋㅋㅋ 재미있어요^.^,2015.05.21 15:29,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,진심 조오오오온나 웃김ㅋㅋㅋㅋ 제이슨스타뎀 나오는컷마다 개뿜,2015.05.22 23:41,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
9,이 영화 잼있다면 알바냐 개노답이네 나름대로웃기고 오락영화로선정말볼만했는데 도데체 어떤 영화를 봐야재밌다고할래?,2015.05.21 01:58,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,우리나라 개그코드랑 안맞는다는 사람들은 얼마나 심도있는 대한민국 코미디 영화를 봤길래 ㅋㅋㅋㅋ지금 상영하는 한국영화보다 이게 제일 돈 덜 아까움,2015.05.23 20:03,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,저런 최강 인간병기를 그동안 후방에서 썩혀두다니 ㅋㅋㅋ,2015.05.21 14:13,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객스파이 따끈따끈한 솔직한 후기! 진짜 거짓말 안하고 완전 잼남! 올해 본 영화 중 가장 많이 웃은 듯! 이런 스파이 영화는 첨이야 ㅋㅋ,2015.05.21 20:07,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객유치한 몸개그로 웃기지 않고 정말 주옥같은 대사로 웃음을 주는 영화,2015.05.21 23:46,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객방금 보고 나왔는데 진짜 꿀잼!!! 올해최고 웃음 폭발영화다ㅋㅋ,2015.05.22 14:27,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
8,제이슨스타뎀 대박ㅋㅋㅋ,2015.05.21 23:25,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,알도가 반전포인트 그냥웃김ㅋㅋ,2015.05.23 00:45,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,시간 가는줄 모르고 빵빵 터집니다! 최고의 오락 영화~,2015.05.21 10:45,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객ㅋㅋ 멜리사 왤케 웃겨~~ 킹스맨과 또다른 스파이 매력!! 쩔어요,2015.05.22 16:33,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,역대 첩보영화 중 가장 웃기고 신선함ㅋㅋㅋ,2015.05.21 19:31,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객겁나 재밌음 쩐다 ㅋㅋ 개꿀잼남,2015.05.21 22:58,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객아 너무 재밋어요 주드로 섹시하고 웃기고 세계여행 눈호강 개꿀잼 허니잼,2015.05.22 22:29,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
7,관람객새로운 스파이 영화ㅋ한번쯤은 보기를바란다,2015.05.22 00:08,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객완전 대박 웃겼어여ㅋㅋㅋㅋ 친구가 보자고 해서 봤는데 대박 짱잼!! 제이슨 스타뎀 짱좋음 ㅋㅋㅋ,2015.05.22 14:51,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
9,제이슨스타뎀이 조온나웃기다 ㅋㅋㅋㅋ,2015.05.22 20:14,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,여잔데도 수잔에게 안반할수가 없다 두시간동안 쉴틈없이 웃음,2015.05.26 13:59,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,무의미한 모음/ 자음이 리뷰 게시판에 허용됫다면 난 140를 ㅋ로만 가득 채울 의향이 잇다,2015.05.25 17:29,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,오프닝 OST 제목이 뭔가요? 영화도 대단히 웃기지만 노래가 정말 좋던데!,2015.05.22 22:29,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,스파이영화가 많이 나왔지만 이건 그중에서도 특이한 스파이영화네요~ 이런 여자주인공은 듣도보도 못했지만 매력쩔어요,2015.05.22 20:59,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
8,관람객재밋는데 주드로 많이 나올줄알앗는데 분량얼마안됏지만 재밋엇음 ㅋㅋㅋㅋ,2015.05.22 20:59,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객간만에 극장에서 빵터진 영화 !! 또 한번 보고 싶음,2015.05.22 14:50,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객재밌다는 말 많이 들어서 기대 엄청 하고 봤는데도 그 기대 이상으로 재밌는 영화!! 다들꼭보세요!!!,2015.05.22 14:27,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,야 그래도 코믹하고 재밌네 한국영화 스파이보다는 낮다 그래도 여주 실감이 남 정말 재밌게 본 영화다,2015.05.21 01:14,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
9,"작정하고 웃긴 B급 스타일로 만들었는데 , 스토리도 의외로 짜임새있고 주드로와스타뎀도 아주 적절하게 치고 들어왔고 무엇보다 주드로보러가서 맥카시에게 반해서 나오게된다. 아쉽다면 자막이 너무 자기멋대로라는거",2015.05.23 12:09,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객진짜 끝까지 재밌는 영화! 개웃김ㅋㅋㅋㅋ,2015.05.21 19:17,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,"관람객간만에 유쾌하며 내내 웃을 수 있었던 영화였습니다. 완벽한 설정, 배역 뭣하나 빠지는게 없네요. 록 스탁 앤 투 스모킹 배럴스 이후로 스테덤의 유머러스한 연기를 볼 수 있어서 좋았어요. 출연배우 모두에게 만점 드리고 싶을 정도로 재밌게 잘 봤습니다.",2015.05.22 20:56,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객돈 내고 보기에 아깝지 않은 영화 입니다.,2015.05.25 12:21,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
8,관람객늘씬이만 스파이 되라는 법은 없다 ㅋㅋㅋ,2015.05.21 21:49,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
8,관람객웃다 나왔어요스트레스 받았던거 다 날려 버린듯,2015.05.22 13:58,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,진짜재밌어용..ㅠㅠ 무엇보다 액션영화는 남자가주인공이라는 틀을 깨줬네요 ㅎㅎ 배신에배신을 무는것도흥미진진하고 여주인공의 입담이 답답하면서도 시원해욬ㅋㅋㅋㅋ 추천bb,2015.05.22 23:52,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객생각보다 엄청잼나네요!,2015.05.22 00:54,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,진짜재밌음ㅠ코믹액션영화중 다시보고픈영화는처음ㅋㅋ,2015.05.23 02:24,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
9,난 지루하게 끄는 무거운 영화보다 이런 재밌는 영화가 백배 더 나은거 같다!,2015.05.22 21:14,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
9,"계속 웃기만함!!! 영국식 발음,, ㄱ반전 ㅋㅋㅋ",2015.05.22 22:33,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,간만에 완전 미친듯이 아무생각없이 웃었음! 2탄이 기다려지는 새로운 코믹액션스파이영화,2015.05.25 23:40,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,개잼! 너무 웃기다 내스타일,2015.05.21 19:13,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,너무 오버스럽지 않은 적절한 유머에 액션까지...! 시간 가는줄 모르고 봤다! 강츄!,2015.05.22 21:16,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,솔직히 이만한 영화로 이런 웃음주기 힘들다,2015.05.25 20:10,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
8,관람객처음부터 끝날때까지 계속 웃었네요~,2015.05.22 21:51,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,관람객진심 너무 우낌! ㅋㅋㅋ 영화보는 내내 재밌어서 엄청 웃었음 ㅎㅎㅎ 극장안에 사람들도 다 많이 웃고ㅋㅋㅋ 자꾸 생각나네~ 멜리사맥카시 안톤한테 버럭할 때 진심 웃겨서 눈물남 ㅋㅋㅋㅋ 스파이 완전강추함,2015.05.22 09:59,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,진짜 솔직히 기대안하고봤는데.... 2시간이라는 시간을 웃으면서 본것같음,2015.05.23 20:12,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
8,액션과 코미디를 적절하게 잘 버무린듯...,2015.05.22 23:41,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,멜리사 맥카시! 진짜 멋있었어요! 젊고 후덜덜한 몸매가 아니더라도 넘흐 사랑스러웠다는~,2015.05.22 13:17,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
10,"관람객멜리사 맥카시 처음보는 배우인데, 매력 철철이네ㅋㅋㅋㅋ제이슨 스타뎀 이런 모습 처음이야ㅋㅋ",2015.05.23 20:03,True,86,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,개봉영화,장편,미국,665,18396836358,"2,315,882",5393002858,"648,385",액션,15세이상관람가,상업영화
