score,review,time,released,﻿순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
8,나는 오늘을 구할테니 당신은 세상을 구해요,2017.05.31 14:00,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,관람객갤 가돗 캐스팅이 신의 한수였네.,2017.05.31 11:34,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,초반부엔 지리는데 중반부에 지렸다가 후반부 가서 지린다,2017.05.31 01:13,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,관람객DC히어로들의 역습이 시작되나? 그 스타트를 원더우먼이 잘 끊어준듯 너무 아름답고 최강인 원더우먼의 탄생이다 갤 가돗 캐스팅이 신의한 수,2017.05.31 13:59,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,아 진심 본사람들만 댓글단거 맞냐? 그렇게 재밌냐?,2017.05.31 05:41,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,관람객역시 갤가돗 이쁘고 멋있다,2017.05.31 14:07,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,드디어 DC가 해냈습니다. 여려분,2017.05.31 06:40,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
9,와.... 다행이다 dc 앞으로 계속 이런식으로 영화 만들어줘,2017.05.31 07:23,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,마블과 비교를 떠나서 여성 히어로물중 아니 모든 히어로물중에 단연 최고입니다.. 이렇게 여성 히어로에서만큼은 DC가 먼저 선두를 달리게 되는군요,2017.05.31 08:56,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,dc 작품 중에 가장 재밌고 쌈박하게 만들었다. 원더 우먼으로 이런 스토리를 만들어낼 줄이야.,2017.05.31 00:28,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
8,관람객초중반엔 멋있어서 소름. 후반부엔 유치해서 소름.,2017.06.01 15:13,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,지금 로튼 96%임 미쳤음ㅋㅋㅋㅋ,2017.05.31 03:24,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
8,관람객여성히어로의 가능성을 보여준 영화!,2017.05.31 10:35,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,드디어 dc가 정신차렸다..,2017.05.31 00:09,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,관람객팔찌와 방패가 이렇게 통쾌하다니.,2017.05.31 16:12,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
7,관람객최근 DC세계관 영화 중에 제일 재밌습니다,2017.05.31 14:06,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,지젤이 원더우먼으로 살아 돌아온 것 만으로도 행복하다 최고,2017.05.31 00:08,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
9,관람객갤가돗 진짜 여신. DC에서 제대로 여성 히어로 만들었네요!,2017.05.31 11:55,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,관람객갓더우먼 ㅠㅠ와 개쩜 이건 또봐야함,2017.05.31 11:44,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
1,여주 하는 행동들은 하나같이 짜증나기만하고 액션신은 유치찬란. 종탑 무너지는장면에선 어이가 없어서 헛웃음밖에 안나왔다. 조연들은 사연있는것처럼해놓고 아무것도안하는 쩌리. 빌런이라는놈은 위엄이나 매력은 하나도없음. 두시간내내 유치하고 오글거리기만함.,2017.06.04 04:36,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
10,관람객히어로의 시작을 알리는데는 이만한 영화가 없다고 생각한다. 그동안의 히어로 영화를 통틀어서도 손에 꼽는 쾌조의 스타트다,2017.05.31 14:28,True,91,원더 우먼,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-31,개봉영화,장편,미국,"1,034",17468588886,"2,165,401",5360314986,"639,541",액션,12세이상관람가,상업영화
