score,review,time,released,﻿순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
9,명연기다진짜...진짜,2017.02.15 00:44,True,84,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,상업영화
9,관람객요즘같이 대한민국이 싫어지는날 보기좋은영화,2017.02.15 12:21,True,84,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,상업영화
10,영화 이름이 재심인데 막상 진짜 멋있거나 그런 재판장면없이 충분히 기대이상으로 재밌다..,2017.02.15 00:01,True,84,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,상업영화
10,관람객자기의 이익을 위해 한 사람의 인생을 망친 경찰과 검찰의 행동을 용서 할 수가 없네요.,2017.02.15 13:32,True,84,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,상업영화
9,다들 연기 너무 잘하시네요... 특히 형사분 정말 때리고싶을 정도로 연기너무 잘하심. 그리고 무엇보다 엔딩이 깔끔하고 좋았던것같습이다.,2017.02.15 00:09,True,84,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,상업영화
9,"변호인에 이은 또한편의 입소문 대박 흥행 작품될듯.배우들 연기가 후덜덜하네요.1~2월 개봉작중 제일 재밌고 잘 만든영화,강추입니다.",2017.02.15 01:08,True,84,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,상업영화
9,관람객정우 강하늘 이동휘 모든 배우들 몰입도 좋고...,2017.02.15 13:36,True,84,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,상업영화
9,관람객감동적. 눈물이 몇 번 이나 나올뻔했는데 참느라 고생했다영화가 끝나자마자 실제사건 검색해봄.,2017.02.15 13:25,True,84,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,상업영화
10,실화를 바탕으로 한거에서 배우들의 열연에 더불어 뜻깊고 감명깊게.. 꽤 재밌게 봤고 많은 사람들이 봐줬으면 하는 영화..!,2017.02.15 00:00,True,84,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,상업영화
10,시사회로 보고왔는데 정말 너무 재밌어요 ~!배우들 연기도 너무좋고 내용도 너무 좋았어요 !!영화대박나길 기원할게요 ^^,2017.02.15 01:03,True,84,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,상업영화
10,"정의로운 영화. 실화라 더 화가 치밀고, 미안하다..쓰레기같은 검사,형사가 참 많구나;; 정우,강하늘의 한층 더 깊어진 연기 너무 좋았다~",2017.02.15 01:19,True,84,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,상업영화
10,관람객영화가 전할려면 메세지가 강하게 와 닿았습니다.,2017.02.15 12:15,True,84,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,상업영화
10,관람객시대적 사회문제를 인지하고 끄집어내 잘 이야기해주는 감독님같은 분들이 더 많아져야합니다. 실제인물 변호사님같은 분들도 많아져야합니다. 대단하십니다~!!배우들 연기도 짱~!! 재미있게 잘 봤습니다.대박 기원~!! 대박나세요~☆,2017.02.15 14:16,True,84,재심,김태윤,(주)이디오플랜,,"오퍼스픽쳐스,CGV아트하우스",2017-02-15,개봉영화,장편,한국,935,19263100637,"2,420,729",4569982837,"555,767",드라마,15세이상관람가,상업영화
