score,review,time,released
score,review,time,released
10,보지도않고 1점 주는 사람은 뭐냐그럼 나도 안보고 만점줘야지,2018.11.28 09:27,True
10,왜 우리나라에서는 상영관이 몇개 없는걸까요ㅜㅜ,2018.11.28 13:19,True
10,"관람객책을 읽지 않은 사람에게는 조금 불친절한 영화. 캐치아이 문구를 잘못 잡은 느낌이 든다. 해커물을 좋아하는 사람보단 영상미와 긴장감을 좋아하는 사람이 더 좋을 듯. 창백한 색의 빈 오두막을 연상시키는 분위기이지만, 단 한순간도 긴장이 풀리지 않는다.",2018.11.28 14:53,True
8,북유럽 분위기의 깔끔한 액션드라마. 주인공의 눈빛이 좋아요,2018.11.28 12:02,True
10,시사회로 봣는데 대존잼 스릴러인듯 공포인듯 리스베트 연기 쩌렀다,2018.11.28 11:29,True
10,미쳤다! 설원을 배경으로 펼쳐지는 눈부시고 시린 범죄 액션 스릴러,2018.11.28 11:29,True
10,와!!이 언니 진심 멋있다. 머리 자르고 싶어졌어,2018.11.28 23:37,True
10,액션씬도 좋고 끝까지 긴장하면서 봤다 재미있음!!추천추천,2018.11.28 15:19,True
10,"생각보다 촘촘한 스토리, 연출도 좋았고 무엇보다 액션이 기대 이상이었던 영화.",2018.11.28 11:28,True
10,관람객책을 보지 않고 본건대 저는 재밌게 봤어요! 여자주인공 완전 멋있어요,2018.11.28 23:58,True
10,액션만큼 클레어포이에게 시원하게 빠져든다,2018.11.28 15:51,True
10,시사회로 봄 괜찮던데 주인공 멋있고,2018.11.28 13:37,True
10,어제 시사회로 봤는데 클레어 포이가 너무 멋짐..ㄷㄷ 특히 오토바이 씬은 ㄷㄷ,2018.11.28 11:30,True
10,루니마라편보다 더 재밌었다! 강하지만 섬세한 면이 있는 리스베트처럼 이번 새로운배우도 전체적으론 강해보이지만 눈동자를 자세히보면 맑은면이 있다 멋진 연출과 카메라워크에 깜짝놀랐고 이미지와 액션 퀄리티가 007 스카이폴 시리즈와 견줄만했다 추천합니다!,2018.11.28 18:07,True
10,와 꼭보세요 여자가 다해먹는최고의 영화!!!,2018.11.28 22:29,True
10,아까 낮에 예매하고 10시영화로 보고 온 사람인데요 시리즈물인것도 영화 보기 몇시간 전에 알았어요 근데 하나도 이해하는데 어려움 없고 너무 재밌는데 왜 예매순위가 낮은건지 정말 안타까워요 ㅠㅠ 왜 안 보세요? ㅜㅜ 액션 좋아하는 사람은 진짜 꼭 보세요,2018.11.29 00:40,True
10,용 문신을 하고 벌집 차고 불을 가지고 노는 리스베트를 다시 봐서 원작팬으로서 감동이다. 원작과는 전혀 다른 스토리 전개지만.,2018.11.28 20:42,True
10,루니마라의 리스베트가 아니라 아쉬워하며 봤는데 클레어포이는 또다른 매력이 있네요 너무 멋지구 재밌어요 영화분위기 굿...,2018.11.28 12:21,True
8,관람객엄청 멋있어요.근데 책보고 보면 더 잼날듯 근데 주인공... 존멋이였습니다,2018.11.28 21:08,True
