날짜,순위,영화명,개봉일,매출액,매출액점유율,매출액증감(전일대비),매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20181202(),1,국가부도의 날,2018-11-28,3540695300,0.434,-238713291,-0.063000000000000001311450947838466163375414907932281494140625,12754594361,399898,-27059,-0.063000000000000001311450947838466163375414907932281494140625,1571422,1150,6153,한국,한국,영화사 집,씨제이이앤엠(주),12세이상관람가,드라마,최국희,"김혜수,유아인,허준호,조우진,뱅상 카셀"
20181202(),2,보헤미안 랩소디,2018-10-31,2642889900,0.324,-353765984,-0.118000000000000002456368441983158845687285065650939941406250,52692671673,292244,-35806,-0.109000000000000002269018306577663679490797221660614013671875,6046903,1103,4706,미국,미국,,이십세기폭스코리아(주),12세이상관람가,드라마,브라이언 싱어,"레미 맬렉,조셉 마젤로,마이크 마이어스,루시 보인턴"
20181202(),3,성난황소,2018-11-22,719885900,0.08800000000000001,-38430825,-0.051000000000000001061650767297805941780097782611846923828125,12157100137,82188,-4881,-0.056000000000000001165734175856414367444813251495361328125000,1451782,632,2080,한국,한국,"주식회사 플러스미디어엔터테인먼트,(주)비에이엔터테인먼트",(주)쇼박스,15세이상관람가,"범죄,액션",김민호,"마동석,송지효,김성오,김민재,박지환"
20181202(),4,후드,2018-11-28,405760000,0.05,-64351275,-0.137000000000000002851885394505870863213203847408294677734375,1775815549,46480,-7532,-0.139000000000000002893518757929314233479090034961700439453125,227254,603,1605,미국,미국,,(주)이수C&E;,12세이상관람가,어드벤처,오토 바서스트,"태런 에저튼,제이미 폭스,벤 멘델슨,제이미 도넌,이브 휴슨,폴 W.S. 앤더슨"
20181202(),5,완벽한 타인,2018-10-31,312402700,0.038,-56439600,-0.153000000000000003184952301893417825340293347835540771484375,43067182974,34826,-6244,-0.152000000000000003164135620181696140207350254058837890625000,5132003,547,1151,한국,한국,"(주)필름몬스터,드라마하우스(주)",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"드라마,코미디",이재규,"유해진,조진웅,이서진,염정아,김지수,송하윤,윤경호,지우"
20181202(),6,신비한 동물들과 그린델왈드의 범죄,2018-11-14,272197200,0.033,-40652166,-0.13000000000000000270616862252381906728260219097137451171875,20403441518,31455,-4309,-0.12000000000000000249800180540660221595317125320434570312500,2362184,401,732,미국,미국,,워너브러더스 코리아(주),12세이상관람가,판타지,데이빗 예이츠,"에디 레드메인,캐서린 워터스턴,앨리슨 수돌,댄 포글러,에즈라 밀러,주드 로,조니 뎁,칼럼 터너,조 크라비츠,수현"
20181202(),7,투 프렌즈,2018-11-29,62638350,0.0080,-2448100,-0.038000000000000000791033905045424035051837563514709472656250,153100650,8120,-421,-0.049000000000000001020017403874362571514211595058441162109375,20419,273,330,러시아,러시아,,(주)박수엔터테인먼트,전체관람가,"애니메이션,어드벤처",빅터 아즈에프,
20181202(),8,베일리 어게인,2018-11-22,55211500,0.006999999999999999,-1666900,-0.029000000000000000603683769639928868855349719524383544921875,674691900,6170,-248,-0.039000000000000000811850586757145720184780657291412353515625,78439,148,246,미국,미국,,(주)홈초이스,전체관람가,"어드벤처,드라마,코미디",라세 할스트롬,"조시 게드,데니스 퀘이드,브릿 로버트슨"
20181202(),9,거미줄에 걸린 소녀,2018-11-28,41770500,0.0050,-3898600,-0.085000000000000001769417945496343236300162971019744873046875,200613650,4825,-432,-0.082000000000000001706967900361178180901333689689636230468750,25172,264,385,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"액션,스릴러,범죄",페드 알바레즈,"클레어 포이,실비아 획스,스베리르 구드나손"
20181202(),10,번 더 스테이지: 더 무비,2018-11-15,20889200,0.0030,380200,0.019000000000000000395516952522712017525918781757354736328125,2651381700,2384,-6,-0.003000000000000000062450045135165055398829281330108642578125,312590,52,61,한국,한국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,기타,박준수,"김남준,김석진,민윤기,정호석,박지민,김태형,전정국"
